make_model,body_type,price,vat,km,registration,hp,previous_owners,make,model,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,displacement,weight,drive_chain,fuel,gears,country_version,cons_combined,cons_city,cons_country,air_cond,bluetooth,age,upholstery_type,co2_emission
Audi A1,Sedans,18500,VAT deductible,3000,09/2018,70.0,1,Audi,A1,White,Metallic,5.0,4.0,Automatic,999.0,1165.0,front,Benzin,7.0,Italy,4.4,5.4,3.8,Air conditioning,Bluetooth,1,Cloth,102.0
Audi A1,Sedans,8999,VAT deductible,115000,05/2016,70.0,1,Audi,A1,White,Metallic,5.0,4.0,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Air conditioning,Radio,3,Cloth,97.0
Audi A1,Compact,11444,VAT deductible,84029,03/2016,70.0,1,Audi,A1,Blue,Metallic,2.0,4.0,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Air conditioning,Bluetooth,3,Cloth,97.0
Audi A1,Sedans,11300,VAT deductible,67800,06/2016,70.0,1,Audi,A1,Black,Metallic,5.0,5.0,Manual,999.0,1135.0,front,Benzin,5.0,Spain,4.2,5.0,3.7,Air conditioning,Radio,3,Cloth,97.0
Audi A1,Sedans,18900,VAT deductible,14556,04/2018,66.0,1,Audi,A1,White,Uni/basic,5.0,5.0,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,4.3,3.8,3.5,Air conditioning,Bluetooth,1,Cloth,99.0
Audi A1,Compact,11290,VAT deductible,22000,03/2016,70.0,1,Audi,A1,Black,Metallic,4.0,4.0,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,Bluetooth,3,Cloth,102.0
Audi A1,Compact,11290,VAT deductible,38400,06/2016,66.0,1,Audi,A1,Black,Metallic,5.0,5.0,Manual,1422.0,1195.0,front,Diesel,5.0,Germany,3.0,3.0,3.0,Air conditioning,Bluetooth,3,Cloth,102.0
Audi A1,Sedans,11440,VAT deductible,83307,05/2016,66.0,1,Audi,A1,Black,Uni/basic,3.0,4.0,Manual,1422.0,1195.0,front,Diesel,5.0,Germany,3.6,4.0,3.3,Air conditioning,Bluetooth,3,Cloth,95.0
Audi A1,Compact,11445,VAT deductible,39668,03/2016,70.0,1,Audi,A1,Brown,Metallic,3.0,4.0,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,CD player,3,Cloth,104.0
Audi A1,Sedans,11700,VAT deductible,30353,08/2016,66.0,1,Audi,A1,Black,Metallic,5.0,5.0,Manual,1422.0,1195.0,front,Diesel,5.0,Spain,3.7,3.9,3.1,Air conditioning,On-board computer,3,Cloth,97.0
Audi A1,Sedans,11900,VAT deductible,126000,06/2016,66.0,1,Audi,A1,White,Metallic,5.0,4.0,Manual,1422.0,1205.0,front,Diesel,5.0,Germany,3.7,4.2,3.4,Air conditioning,Bluetooth,3,Cloth,97.0
Audi A1,Compact,11949,VAT deductible,57500,01/2016,70.0,1,Audi,A1,White,Metallic,3.0,4.0,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,Bluetooth,3,Cloth,104.0
Audi A1,Sedans,11890,VAT deductible,73945,04/2016,70.0,1,Audi,A1,White,Metallic,3.0,5.0,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,Air conditioning,CD player,3,Cloth,104.0
Audi A1,Sedans,11600,VAT deductible,96000,07/2017,66.0,1,Audi,A1,Red,Metallic,5.0,5.0,Manual,1422.0,1195.0,front,Diesel,5.0,Germany,3.7,3.9,3.1,Air conditioning,Radio,2,Cloth,97.0
Audi A1,Sedans,11900,Price negotiable,43120,10/2016,60.0,2,Audi,A1,Red,Metallic,3.0,4.0,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,Leather steering wheel,Radio,3,Cloth,97.0
Audi A1,Compact,11630,VAT deductible,110715,01/2016,66.0,1,Audi,A1,Silver,Metallic,5.0,5.0,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,6.170041038508629,4.26714272683179,Air conditioning,Bluetooth,3,Cloth,102.0
